"","x"
"820",0.902640936895435
"821",0.589661033026215
"822",0.522979659082207
"823",0.690968803506069
"824",0.601753268671129
"825",0.95845734064624
"826",0.464828193041697
"827",1
"828",0.917003410420505
"829",0.940619386753806
"830",0.889588322060526
"831",0.687114128574132
"832",0.872861882061309
"833",0.802278062383133
"834",0.723889822403764
"835",0.554502142545264
"836",0.971955057488796
"837",0.940457452304114
"838",0.526655710255919
"839",0.72639007233978
"840",1
"841",1
"842",0.816162841744978
"843",0.999568624099403
"844",0.146676073338373
"845",0.874287910312452
"846",1
"847",0.790233509090496
"848",0.997494554428849
"849",0.39787134103161
"850",0.669729012327358
"851",0.717530118463574
"852",0.769821908651946
"853",0.867959801320342
"854",0.389602022465182
"855",0.959365026206028
"856",0.730284231085477
"857",0.361322788732704
"858",0.482977789870199
"859",0.805875346525195
"860",0.00294976156169777
"861",0.817210224841206
"862",0.770718815592638
"863",1
"864",1
"865",0.234256145340752
"866",0.88818598540229
"867",0.91980649040555
"868",0.486912956520004
"869",1
"870",0.949700215590401
"871",1
"872",0.609500532857885
"873",1
"874",0.493534448480217
"875",0.460813440618634
"876",0.676010810634881
"877",0.857278362055242
"878",0.886254610040471
"879",0.308718288431408
"880",0.593378172888044
"881",0.876222361508521
"882",0.971080020867352
"883",0.895032437444365
"884",1
"885",0.278441590897338
"886",0.48318001776088
"887",1
"888",0.496946186036201
"889",1
"890",0.27018186729165
"891",0.765251314793873
"892",1
"893",0.872662492074947
"894",1
"895",0.45347465234732
"896",0.65338064322536
"897",0.697221191653577
"898",0.746073306972692
"899",0.970242275385284
"900",1
"901",1
"902",0.835800310120027
"903",0.806702217499983
"904",0.382807965810352
"905",0.0828985412450355
"906",0.449957382273869
"907",0.225348683359231
"908",1
"909",0.590433392479151
"910",0.940619386753806
"911",0.805323972368692
"912",0.692299676820307
"913",0.798144943308618
"914",0.341899131291675
"915",0.775308918196348
"916",0.9246595289312
"917",0.896230839718665
"918",0.964098173276422
"919",0.817210224841206
"920",0.895993565220123
